name,file_path,anim_index,play_speed,priority,loop,cancel_time,next_anim_name
idle,data/model/enemy/zako/animation/Idle.mv1,0,1,0,1,0,nothing
jogging,data/model/enemy/zako/animation/Standard_Run.mv1,0,1,1,1,0,nothing
run,data/model/enemy/zako/animation/Running.mv1,0,1,2,1,0,nothing
on_damage,data/model/enemy/zako/animation/Stomach_Hit.mv1,0,1,100,0,-1,nothing
punch,data/model/enemy/zako/animation/Punch.mv1,0,1,3,0,-1,nothing
double_punch,data/model/enemy/zako/animation/Double_Punch.mv1,0,1,8,0,-1,nothing
jumping_attack,data/model/enemy/zako/animation/Jumping.mv1,0,0.3,5,0,-1,nothing
charge,data/model/enemy/zako/animation/Charge.mv1,0,0.65,4,0,-1,nothing
tackle,data/model/enemy/zako/animation/tackle.mv1,0,1,7,1,-1,nothing
charge_tackle,data/model/enemy/zako/animation/charge_tackle.mv1,0,0.65,6,0,-1,nothing
death,data/model/enemy/zako/animation/enemy_zako_death.mv1,0,0.5,1000,0,-1,nothing
