id,path,pos,,,rot,,,scale,,,speed,start_speed,totla_time,loop
,,x,y,z,x,y,z,x,y,z,,,,
0,data/effect/3D/Effekseer01/Laser03.efkefc,0,0,0,0,90,0,1,1,1,1,0,100,1
1,data/effect/3D/Effekseer01/Laser03.efkefc,0,10,0,0,0,0,1,1,1,1,0,100,1
2,data/effect/3D/Effekseer01/Simple_Sprite_FixedYAxis.efkefc,0,0,0,0,0,0,2,2,2,5,0,160,0
3,data/effect/3D/MAGICALxSPIRAL/avoid_success.efkefc,0,0,0,0,0,0,10,10,10,1,0,60,0
4,data/effect/3D/NextSoft01/hand_aura.efkefc,0,0,0,0,0,0,1,1,1,0.6,0,60,1
5,data/effect/3D/NextSoft01/hand_aura.efkefc,0,0,0,0,0,0,1,1,1,0.6,0,60,1
6,data/effect/3D/MAGICALxSPIRAL/stamp.efkefc,0,0,0,0,0,0,30,30,30,2,0,30,0
7,data/effect/3D/AndrewFM01/drill.efkefc,0,0,0,0,0,0,15,15,15,0.7,0,510,1
8,data/effect/3D/AndrewFM01/hit_eff.efkefc,0,0,0,0,0,0,2,2,2,1.8,0,50,0
9,data/effect/3D/MAGICALxSPIRAL/full_stamina.efkefc,0,0,0,0,0,0,10,10,10,1,0,50,0
10,data/effect/3D/MAGICALxSPIRAL/Salamander5.efkefc,0,0,0,0,0,0,8,8,8,3,0,75,0
11,data/effect/3D/NitoriBox/CorrectItem2.efkefc,0,0,0,0,0,0,2,2,2,1,0,60,0
